,sentence,author,title,pet
197,"they voted instead for the man who was opposed for the most part by the democratic party organization, whose campaign chest was less than half the size of his opponent's, who stuck by his unpopular stance against the death penalty, who ran against reaganism at a time when the conventional wisdom suggests this is a path reserved only for dreamers or fools, and who sought to revive the old democratic coalition of liberals, labor and minorities that the so-called party pragmatists had long since declared extinct",bshs,new-york-mythology-takes-a-beating,chest
198,"'' i suppose some of the genetic theorists might argue that only hereditarily superior blacks manage to make it into the economic middle class and therefore, as they pass on their genes, their children in turn are scoring higher these days on the s",bshs,new-york-new-patterns,pass on
199,"koch knew how troubled the city's financial future was, and some of his closest advisers had used that as an argument to persuade him to put the no-win mess behind him and run for governor",bshs,new-york-our-new-fiscal-crisis,troubled
200,they'd just spend it on more cops and sanitation workers and subway repairmen,bshs,new-york-striclty-beau-monde,sanitation workers
201,don't drag your feet any longer - write to the mayor immediately and tell him to lay off donald trump,bshs,new-york-striclty-beau-monde,lay off
202,"a friend visiting from london a while back, talking about how unfettered the fare on television had become, mentioned that a few days before he had been watching a sex-change operation on british television and had now been introduced to late-night explicit sex frolics on new york's cable channels",bshs,new-york-styx-at-six,late
203,which means that we will probably need more money than any other city or state to repair our aging public works and restore these vital arteries at least to safe condition,bshs,new-york-tank-traps-ahead,aging
204,i found them worth passing on,bshs,new-york-testimony-about-the-system,passing on
205,i'm saying these things because i've personally experienced them,bshs,new-york-testimony-about-the-system,experienced
206,"back in 1979, the department of housing preservation and development told the low-income and working-class tenants who had agreed to apply their own sweat and labor and expenses to keep alive their city-owned buildings (which had been abandoned by tax-defaulting landlords) that it would eventually sell these tenants their apartments for $250",bshs,new-york-the-250-promise,low-income
207,and such ''gentrification'' - to be accomplished by putting the buildings on the open-market auction block for purchase and renovation - would simply price out of these neighborhoods the low-income residents who had put life back into the tenements,bshs,new-york-the-250-promise,low-income
208,"the mayor -through deputy mayor nathan leventhal - said he would not negotiate further and threatened that if they didn't agree to his plan, he would not sell any of these apartments to the people who had reclaimed them from vermin and drug addicts",bshs,new-york-the-250-promise,addicts
209,"the nub of this counter-plan is a set of formulas and city auditing procedures that would insure that if tenants wanted to keep their building as housing for low-income people, the resale prices would be held in that income range, and no tenant would make a profit from selling his apartment",bshs,new-york-the-250-promise,low-income
210,"it's hard to tell, but all the administration's rhetoric works to conceal its failures in low-income housing",bshs,new-york-the-250-promise,low-income
211,such questions as: doesn't the city want low-income people in these neighborhoods,bshs,new-york-the-250-promise,low-income
212,"also, the traditional state and local method of paying for public works -selling government bonds - has been badly hobbled of late by high interest rates that have made the cost of issuing such bonds often prohibitive",bshs,new-york-the-sky-is-loosening,late
213,"as every study keeps pointing out, the cost of rebuilding our crumbling public facilities is nowhere near as great as the cost of not doing it",bshs,new-york-the-sky-is-loosening,doing it
214,"and since no one is building low-income housing these days, where are these people to go",bshs,new-york,low-income
215,and so forth - until it becomes absolutely clear that the koch program is not a housing policy and has almost nothing to do with providing shelter for low-income people,bshs,new-york,low-income
216,why is it that low-income people who have bathtubs in their kitchens and toilets down the hall and who have kept their buildings alive with sweat and money are the only ones ever asked to share their ''profits'' with the city,bshs,new-york,low-income
217,"isn't the city willing to forgo this money - if, indeed, there is any net gain - and call it an investment in low-income housing",bshs,new-york,low-income
218,"with the american hospital association cheering on the sidelines, the administration wants to weaken or destroy many federal regulations affecting 1,500 hospitals, thereby threatening the health and safety of millions of patients - especially the elderly and the poor",bsmw,reagans-hospital-proposals-would-hurt-the-poor-and-old,elderly
219,'' neither the elderly nor the poor nor any other patients or patients' groups are listed as ''interested parties'' that are expected to comment,bsmw,reagans-hospital-proposals-would-hurt-the-poor-and-old,elderly
220,"local sources of livelihood are few and far between, and a substantial part of the local manpower is employed in israel, jordan and in the wealthy arab countries",bss,jordan-as-the-palestinian-state,wealthy
221,"did the government get in the way of self-reliance or did it, rather, put an end to a quick fix",bss,new-york-the-rest-of-the-story,did it
222,"practically all of the unemployed were able-bodied and capable, and they besieged him for chances at working for their keep",bss,new-york-the-rest-of-the-story,able-bodied
223,"lehrman, a wealthy businessman who helped build his family's rite-aid chain of drugstores and whose conservative lehrman institute played a role in making supply-side theory a household word",bsss,new-york-discarding-campaign-trash,wealthy
224,"abdullah was disappointed that the british had not chosen him as king iraq, and was threatening to march on damascus, expel the french and seize the crown of syria, of which the french had deprived his brother faisal",bsz,is-jordan-palestine-of-course,deprived
225,"'' he said: ''even if it were my last act as president, i'd be happy i did it because that journey made a difference and changed the world",btbf,historys-sadat,did it
226,"several states, particularly wealthy energy producers, would receive far fewer dollars under the tax capacity index than under the per capita formula",btjarw,a-fruitless-swap,wealthy
227,miguel de la madrid hurtado succeeds jose lopez portillo as president at a time when mexico's financial crisis threatens to produce a social convulsion that would lead not to some egalitarian utopia but to the demise of the mexican government's commitment to a more just society,btjface,a-rightist-mexico,demise
228,a policy of beggaring the poor and suppressing resistance would create a wave of illegal immigrants - and our efforts to turn them back would strain both our politics and economic resources,btjface,a-rightist-mexico,illegal immigrants
229,"it seemed not so long ago that halloween was about to fade away, and it probably would have, had not some dimwitted do-gooder come up with the idea of having schools provide younger children with empty milk cartons, into which householders would be obliged to drop coins for the united nations children's fund, lest they be subjected to a halloween trick",btmb,treat-halloween-as-trick-because-we-fool-ourselves,fade away
230,"we protect our children at every turn, save for halloween, when we dress them up and push them out into the cold blackness of a late october night to scare the wits out of each other, to be frightened by older children, to be clobbered by debris, to risk being run down by anxious motorists hurrying home on dark, often slippery roads, to collect bags of loot which will cause bellyaches or tooth cavities or worse",btmb,treat-halloween-as-trick-because-we-fool-ourselves,late
231,"for the first time in history, it is within the power of a less-developed country to obtain from external savings the capital needed for growth",bwbw,banking-against-disaster,developed country
232,"a law was even decreed that made the public mention of my name, or that of any citizen deprived of his civil rights, punishable by six months' incarceration",bwfa,in-uruguay-a-democratic-step-maybe,deprived
233,"those who have moved on to relative prosperity must return to the inner city and volunteer to work with organizations like the urban league, the national association for the advancement of colored people, the opportunities industrial centers, operation push and others that inspire young blacks to seek a better life",bwjh,a-black-responsibility,inner city
234,ronald reagan's robin hood-in-reverse strategy of taking from the poor and giving to the rich should be reversed by rescinding the tax cuts given the wealthy - worth $36 billion to the 20 percent at the top of the income scale in 1982 alone - and giving the money saved to the 80 percent who have not benefited so far,cp,INSURE-THE-CONSUMER,wealthy
235,"meanwhile, the worldwide boom in oil drilling is turning into something of a bust",dy,pangloss-on-the-energy-future-wishful-thinking,bust
236,"it deprives the west of its most experienced, its most effective, and, in the eyes of many, its most attractive statesman",fs,for-bonn-instability,experienced
237,"the christian democratic union is an experienced, democratic party, with many outstanding leaders, even if the new chancellor, helmut kohl, is a man whose chief virtue is the absence of known vice",fs,for-bonn-instability,experienced
238,"the rather unseemly haste with which the central committee was convened to ratify this decision, even before the late ruler was buried, is most unusual, and suggests an urgent desire on someone's part to foreclose other possibilities",gfk,ANDROPOV,late
239,these seductive remedies for economic ills threaten to drag the world into another period of trade warfare such as the one which we experienced during the great depression,grf,stop-the-drift-toward-economic-anarchy,experienced
240,the restrictions were tightened in the late 1960's because congress believed that individuals (or individual trusts) should not be able to use tax-exempt money to politick,ja,think-tanks-politick,late
241,"in the late 70's, the west correctly understood that appeals to sweet reason would not persuade the kremlin to dismantle a powerful nuclear arsenal that it was expanding with breathtaking speed",jj,euromissile-myths,late
242,"most congressmen look fairly healthy and even fancy on tv, but most of them are in middle age, caught in the middle between their rebellious children and their aging parents",jr,washington-a-bonus-for-congress,aging
243,"accordingly, it might not be a national disaster if one or two of them were dismissed in each congressional office, and the boss added their salary to his own, and had to do a little more work to speak for himself",jr,washington-a-bonus-for-congress,dismissed
244,''i am deeply troubled,jr,washington-a-talk-with-schmidt,troubled
245,"''are we to be deprived of active, experienced citizens or merely depend on people who are retired or are on welfare, who need the $30 a day they are paid for jury duty",jr,washington-crisis-in-the-courts,deprived
246,"for all that we want to receive -higher wages, lower prices - let us go on strike",jr,washington-let-us-give-thanks,let us go
247,"de la madrid's tough, new program will do to increase unemployment in mexico and encourage the flow of illegal immigrants over the border and into the united states",jr,washington-mexico-back-to-reality,illegal immigrants
248,"reagan dismissed it as a crazy gamble, and now that it's up he claims it as proof that his policies were right from the beginning",jr,washington-mondale-s-tough-line,dismissed
249,"but when america took on this responsibility to counter aggression by the soviet union and its surrogates in afghanistan, southeast asia, poland, africa or central america, he complained, it was apt to be criticized for what it did, or how it did it, or both",jr,washington-reagan-s-man-in-bonn,did it
250,isn't it a little slim,jr,washington-santa-at-the-border,slim
251,"it reminds me of a similar argument during the last world war when the late adlai stevenson, then in the navy department, was talking to a soviet diplomat about the delivery of supplies to moscow",jr,washington-the-nuclear-blackout,late
252,"the group to be tried consists of seven members of kor - an acronym for the workers defense committee, later renamed public self-defense committee - which was established in september 1976 to provide legal, medical and financial help to workers who had been beaten up, tortured and dismissed from work during the strikes that summer",lkasb,warsaws-next-step-solidarity-on-trial,dismissed
253,throw-weight is one measure of destructive power that can be launched against an adversary - another one of the soviet advantages that so troubled mr,mk,ARMS-NONPOLICY,troubled
254,"in testimony before a joint session of senate and assembly committees, the state tax commissioner, james tully, summed up why many of these taxes are yet to be collected: ''never underestimate the resourcefulness of intelligent lawyers who have wealthy clients",mpagr,turnstilejumping-by-corporations,wealthy
255,simpson-mazzoli seeks to limit the increased flow of illegal immigrants without curtailing civil liberties in the bargain,mst,peso-refugees,illegal immigrants
256,"in midafternoon my head abruptly stopped gushing away through eye slits and nostrils, and an immense but invisible chain was suddenly cinched tight around my chest",rb,OBSERVER;-ADDALS-OF-MEDICID,chest
257,"'' late that night while he slept, i browsed in his diary",rb,OBSERVER;-FEAR-OF-SPYING,late
258,is it any wonder that a nation that lives in terror of finding a dandruff flake on its shoulder should recoil from a river that has 75 percent of yesterday's sewage on its bosom,rb,OBSERVER;-Ring-Around-The-River,bosom
259,"using the same technique, you could take some of the gloss off julius caesar's reputation by pointing out that he was a sexist, what with failing to open enlistments in the roman legions to women and expecting his wife to sit home doing nothing but being as pure as caesar's wife",rb,history-is-debunk,expecting
260,"out on the street these late december mornings temperatures go down to 25, to 15 degrees",rb,observer-a-cold-hard-net,late
261,"a young whippersnapper writing in the washington monthly complains that we senior citizens, having squandered the nation's prodigious wealth in our salad days, now want to force his generation to submit to soul-crushing taxation so that we may continue our profligate ways",rb,observer-back-off-a-little-kiddies,senior citizens
262,thus the program's cost will be reduced by reducing the number of elderly recipients,rb,observer-back-off-a-little-kiddies,elderly
263,"''it's too late,'' the director of campaign gimcracks said",rb,observer-beating-around-the-bush,late
264,tomorrow will be a day of terror for the millions of americans who live with football addicts,rb,observer-sunday-bloodless-sunday,addicts
265,"deprived of their regular sunday fix by the strike of professional players, these wretched addicts will require the most delicate and sympathetic handling by their next of kin and loved ones",rb,observer-sunday-bloodless-sunday,addicts
266,"liverworth, author of ''how to live with your football junkie,'' tells me that cold-turkey withdrawal by the nation's entire addict element could lead to massive jail overcrowding and hospital emergency-room breakdown unless they are treated with the utmost love and understanding",rb,observer-sunday-bloodless-sunday,addict
267,"do not laugh at your trembling family addict and say, ''i'm glad - glad, do you hear",rb,observer-sunday-bloodless-sunday,addict
268,liverworth favor urging the addict to calm himself by spending the afternoon raking leaves,rb,observer-sunday-bloodless-sunday,addict
269,"''the most frequent complaint i hear from the wives of football addicts,'' dr",rb,observer-sunday-bloodless-sunday,addicts
270,"this was a boon to monday morning newspapers, which, always hard pressed for news, were able to fill their columns with hair-raising accounts of highway fatalities",rb,observer-sunday-bloodless-sunday,fatalities
271,"the high accident rate among sunday motorists, according to dr",rb,observer-sunday-bloodless-sunday,accident
272,"liverworth, was caused by the nervous excitement experienced by drivers when they reflected that if they weren't driving they would be at home raking leaves",rb,observer-sunday-bloodless-sunday,experienced
273,he counsels against letting your addict go sunday driving tomorrow: ''an even deadlier state of agitation may be produced in the addict behind the wheel who lapses into fantasies about football and starts to visualize a game while he is driving,rb,observer-sunday-bloodless-sunday,addict
274,"'' having seen thousands of games won in the last millisecond by a 52-yard field goal or the greatest pass reception in the history of the game, the motoring addict is apt to look through the windshield and see only the greatest pass in the history of the game being completed and, rising to punch his television set with joy, plow into the rear of a tractor-trailer",rb,observer-sunday-bloodless-sunday,addict
275,''getting to know the children'' - that's what so many addicts say they would like to do if only there weren't football,rb,observer-sunday-bloodless-sunday,addicts
276,"liverworth suggests the addict be kept in the house, confined to a room remote from the children if possible, sedated if possible",rb,observer-sunday-bloodless-sunday,addict
277,"encouraging him to take a large quantity of brandy just before bedtime saturday night can be very helpful, since brandy can produce a hangover in which nails seem to be driven into the skull, thus tending to keep the addict flat on his back and even more worried about death than an absence of football",rb,observer-sunday-bloodless-sunday,addict
278,"persons addicted to tobacco are forced to cluster in disgrace in the back of the plane, but narcotics addicts and the dozens of chemically tranquilized persons on board are given the liberty of the entire cabin",rb,observer-the-cheery-skies,addicts
279,"when the airplane door opens you will have 12 minutes to reach your connecting flight two counties to the east, but do not panic, for it will doubtless be two hours late",rb,observer-the-cheery-skies,late
280,one day an aging woman entered the room,rb,observer-things-passed,aging
281,"'' ''i thought you'd like to join the party for your grandchildren,'' said the elderly woman, introducing herself as my wife",rb,observer-things-passed,elderly
282,"i wouldn't mind koch throwing his racquet at the state legislature now and then, but i wouldn't want young people to see him doing it constantly on television",rb,observer-yet-another-tomorrow,doing it
283,"the uniform billings reflect a statewide average of the days needed for treatment and all other hospital costs, including care for the indigent",rc,the-editorial-notebook-prix-fixe-for-medicare,indigent
284,"but so far, that efficiency has not been achieved; the state's rate-setting commission has been extremely late in informing hospitals how much they may charge",rc,the-editorial-notebook-prix-fixe-for-medicare,late
285,"he did it by putting together, at least in alabama, the last great dream of martin luther king: a populist coalition of poor blacks and poor whites",rr,wallace-redux,did it
286,"by election day the liberals might have been hung over, but they were sober",rr,wallace-redux,sober
287,"he dreamed of reviving the brief, glorious coalition of poor blacks and poor whites that electrified the country during the late 19th century",rr,wallace-redux,late
288,"for as the late senator wayne morse, a master of the art and a former law school dean, used to teach his students: ''he who controls procedure, controls substance",tw,in-the-nation-a-small-c-victory,late
289,reagan's sweeping charges that the democrats are to blame for all ills; the absence on either side of sober economic analysis or plausible recommendations for a future that begins to look frightening - all have combined to make the national campaign one of the most bitter and barren in memory,tw,in-the-nation-an-ugly-campaign,sober
290,"if so, it's because of his relatively late switch to an attack on the reagan economic program - an approach mr",tw,in-the-nation-attack-on-voodoo-ii,late
291,trible now appears in danger of losing a seat the president's party had counted on adding to its slim senate majority,tw,in-the-nation-challenge-in-virginia,slim
292,"he contended, for example, that his income tax reductions ''will barely neutralize'' social security payroll tax increases",tw,in-the-nation-looking-like-jimmy,neutralize
293,that probably reflected the president's persuasive arguments for his economic program; but it also suggests a troubled belief among voters that the democrats don't have an alternative other than a return to the policies mr,tw,in-the-nation-reagan-and-1984,troubled
294,"to the extent that the so-called ''social issues'' - abortion, school prayer and the like - won him votes in 1980, four years of inability to advance these causes substantially should neutralize them in a reagan re-election campaign",tw,in-the-nation-reagan-and-1984,neutralize
295,"the fears of the elderly are a big factor here, as everywhere",tw,in-the-nation-reagan-to-the-rescue,elderly
296,"governor list, who has suffered charges of billing the state for personal expenses and exerting undue influence on gaming officials, may be making late gains in a hard race against the democratic attorney general, richard bryan",tw,in-the-nation-reagan-to-the-rescue,late
297,"preference would be given to the disadvantaged, or to those who live in areas of particularly high unemployment",tw,in-the-nation-recycling-an-idea,disadvantaged
298,"adelman so casually dismissed is in fact a 20-year, binding american commitment to achieve a comprehensive nuclear test ban",tw,in-the-nation-small-risk-for-big-gains,dismissed
299,"exit polls do not show that the democrats gained a lot of votes from elderly persons who feared a republican assault on social security - as had been inaccurately predicted by me, among others",tw,in-the-nation-the-end-of-the-affair,elderly
300,"a house subcommittee has reported that in 1977 - a typical year - 1,219 of them had to be removed from such duty because of mental disorders, 256 for alcoholism and 1,365 for drug abuse",tw,in-the-nation-war-by-accident,alcoholism
301,"even as late as 1860, sir richard burton - not today's actor but yesterday's famous explorer - while traveling by stage coach across the american plains, grumbled to his diary that the west's fabled buffalo was ''the worst and driest meat, save elk, that i have ever tasted; indeed, without the assistance of pork fat, we found it hard to swallow",tw,in-the-nation-what-the-brethren-ate,late
302,some did it well,tw,in-the-nation-what-the-brethren-ate,did it
303,"and here is a recipe - economical in language, rich in conception - for pound cake handed down from robert e",tw,in-the-nation-what-the-brethren-ate,economical
304,"we must either get out of that country, using our withdrawal as the quid pro quo for a rapprochement with the chinese, or go in with the 250,000 more troops ustinov says he needs to exterminate opposition",ws,ESSAY;-INSIDE-ANDROPOV'S-MIND-(2),exterminate
305,"the stunned audience realized that the accident was not part of the show; after waiting vainly for word of her condition, the audience somberly filed out",ws,essay-fighting-for-life,accident
306,"since this took place in washington, the talk in the opera house lobby drifted to the way that the unexpected - an accident, or a shooting - can scramble the patterns of political life",ws,essay-fighting-for-life,accident
307,"miss makarova's friend, ann getty, drew the parallel of the danger of an accident in a world of many nations armed with nuclear weapons",ws,essay-fighting-for-life,accident
308,"in response, the brezhnev-chernenko faction says no, we should keep fighting on this low level, while the grishin faction also says no, that we should send in a half million men and exterminate all resistance",ws,essay-inside-andropov-s-mind,exterminate
309,but a slim chance exists that you could make yourself the lightning rod and absorb most of the anger; mr,ws,essay-letter-to-sharon-yom-kippur-5743,slim
310,state department give judea and samaria to king hussein to pass on to the p,ws,essay-letter-to-sharon-yom-kippur-5743,pass on
311,the person with the most to lose from the success of a federal prosecutor in the westchester theater case is (a) a top corporate executive (b) an aging crooner,ws,essay-office-pool-for-1983,aging
312,now the french binge has led to a sober second thought and a huge hangover afflicts the nation,ws,essay-the-battle-of-poitiers,sober
313,"many conservatives would say that the notion of raising payroll taxes beyond the already-too-high increases built into the law contributes to inflation and unemployment, and shifts the burden of carrying the elderly too much to the gypped generation not now being consulted",ws,essay-the-gypped-generation,elderly
314,"give the elderly the most inflation protection, not the least",ws,essay-the-gypped-generation,elderly
315,", after a more experienced guide has guided the adviser toward what guidance to give",ws,essay-the-nsc-after-clark,experienced
316,richard burt has his hands full getting conservative support for his current nomination; ambassador ken adelman is a few years away; frank carlucci (like larry eagleburger) needs to make some money; and edward luttwak is too brilliant and outspoken,ws,essay-the-nsc-after-clark,outspoken
317,"workers who priced themselves and their industries out of the world market are getting laid off, and after they quit hollering for tariff protection, they'll come back to produce better products at less cost",ws,essay-the-recession-speaks,laid off
318,"then let him go to jerusalem, without preconditions, where israel's decisions will be made",ws,essay-the-ultimate-settlement,let him go
319,maybe it was a sense of betrayal that we experienced in discovering we had elected a president who was putting into practice the very things he promised as a candidate,wsc,presidential-paradoxes,experienced
